id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
269408,6523,00A,80,80,ASPH-G,1,0,H1,,,,,,,,,,,
255155,6524,00AK,2500,40,GRVL,0,0,N,,,,,,S,,,,,
254165,6525,00AL,2100,90,TURF,0,0,01,,,,,,19,,,,,
506792,506791,00AN,4517,60,GVL,0,0,3,,,,,,21,,,,,
322128,322127,00AS,1450,60,Turf,0,0,1,,,,,,19,,,,,
257681,6527,00AZ,1700,60,GRAVEL,0,0,15,,,,,,33,,,,,
245528,6528,00CA,6000,80,ASPH,0,0,04,35.349300384521484,-116.89299774169922,,50,,22,35.36029815673828,-116.87799835205078,,,
247972,6531,00FA,3200,100,TURF,0,0,08,,,,,,26,,,,,800
250414,6533,00FL,4700,60,TURF,0,0,12,,,,,,30,,,,,
253429,6534,00GA,2600,80,TURF,0,0,09,,,,,,27,,,,,
265038,6535,00GE,125,95,ASPH,1,0,H1,,,,,,,,,,,
265039,6536,00HI,1155,45,ASPH-G,0,0,H1,,,,,,,,,,,
246648,6537,00ID,3500,40,TURF,0,0,08,,,,,,26,,,,,
246649,6537,00ID,2900,40,TURF,0,0,11,,,,,,29,,,,,
252182,6539,00IL,2500,75,TURF-F,0,0,18,,,,,290,36,,,,,350
265040,6540,00IN,40,40,MATS,1,0,H1,,,,,,,,,,,
254597,6541,00IS,1600,70,TURF,0,0,09,,,,,,24,,,,,
256603,6542,00KS,2600,85,TURF,0,0,17,,,,,,35,,,,,
251984,6543,00KY,2100,100,TURF,0,0,01,,,,,,19,,,,,
264322,45437,00LA,40,40,TURF,0,0,H1,,,,,,,,,,,
265041,6544,00LL,25,25,CONC,0,0,H1,,,,,,,,,,,
255958,6545,00LS,2600,100,TURF,0,0,18,,,,,,36,,,,,
255848,6546,00MD,1700,75,TURF,0,0,14,,,,,,32,,,,,
265042,6547,00MI,100,100,TURF,0,0,H1,,,,,,,,,,,
255865,6548,00MN,2949,200,TURF-G,1,0,06,,,,,,24,,,,,
254820,6549,00MO,2400,25,TURF,0,0,08,,,,,,26,,,,,
249208,6551,00N,2420,150,TURF-G,1,0,18,,,,,,36,,,,,
249382,6552,00NC,2650,36,ASPH-G,0,0,05,,,,,,23,,,,,
269409,6553,00NJ,50,50,ASPH,0,0,H1,,,,,,,,,,,
506040,506039,00NR,50,50,CON,1,0,H1,,,,,,,,,,,
248635,6554,00NY,2350,80,TURF,1,0,03,,,,,,21,,,,,
269410,6556,00OI,42,42,CONC,0,0,H1,,,,,,,,,,,
328512,328503,00OK,2200,60,Turf/Dirt,0,0,17,,,,,,35,,,,,
269411,6558,00PA,80,80,TURF-G,0,0,H1,,,,,,,,,,,
264557,45773,00PN,500,75,TURF,0,0,12,,,,,,30,,,,,
250124,6560,00S,2600,90,TURF-P,0,0,06,,,,,,24,,,,,
250457,6561,00SC,2900,100,TURF,0,0,08,,,,,,26,,,,,
330392,330391,00SD,2400,50,Turf,0,0,18,,,,,,36,,,,,
269413,6563,00TE,48,48,TURF,0,0,H1,,,,,,,,,,,
248688,6565,00TS,1200,45,TURF,0,0,01,,,,,,19,,,,,
516564,516563,00TT,2429,80,Turf/Dirt,0,0,18,,,,,,36,,,,,
251342,6568,00VA,1300,100,TURF,0,0,01,,,,,,19,,,,270,
247311,6569,00VI,1500,50,TURF,0,0,09,,,,,,27,,,,,
254777,6570,00W,3400,50,GRAVEL-F,0,0,14,,,,,,32,,,,,
